name,composition,size,opt_count,mod_count,pes_count,supply_reduction,wsi_increase,gap_change
Drought(Moderate)+Conflict(Pessimistic)+Cyber(Optimistic),drought:Moderate|conflict:Pessimistic|cyber:Optimistic,3,1,1,1,69.82262136994369,2.50897538001574,-1244.3973439477772
Drought(Moderate)+Conflict(Pessimistic)+Cyber(Moderate),drought:Moderate|conflict:Pessimistic|cyber:Moderate,3,0,2,1,71.78802311457912,2.8341920060437946,-1297.7953439477772
Drought(Moderate)+Conflict(Pessimistic)+Cyber(Pessimistic),drought:Moderate|conflict:Pessimistic|cyber:Pessimistic,3,0,1,2,76.97662777430159,4.247321364701372,-1438.7645439477774
Drought(Pessimistic)+Conflict(Optimistic)+Cyber(Optimistic),drought:Pessimistic|conflict:Optimistic|cyber:Optimistic,3,2,0,1,44.11005189738305,1.486902684156992,-1106.7824082990496
Drought(Pessimistic)+Conflict(Optimistic)+Cyber(Moderate),drought:Pessimistic|conflict:Optimistic|cyber:Moderate,3,1,1,1,47.853005263351605,1.7462645551461937,-1208.4747082990498
Drought(Pessimistic)+Conflict(Optimistic)+Cyber(Pessimistic),drought:Pessimistic|conflict:Optimistic|cyber:Pessimistic,3,1,0,2,57.578214141116725,2.9130671951983986,-1472.6989082990497
Drought(Pessimistic)+Conflict(Moderate)+Cyber(Optimistic),drought:Pessimistic|conflict:Moderate|cyber:Optimistic,3,1,1,1,53.97298391549194,1.8405269009603014,-1174.7987536787946
Drought(Pessimistic)+Conflict(Moderate)+Cyber(Moderate),drought:Pessimistic|conflict:Moderate|cyber:Moderate,3,0,2,1,57.05541609923075,2.1320168453465262,-1258.5453536787945
Drought(Pessimistic)+Conflict(Moderate)+Cyber(Pessimistic),drought:Pessimistic|conflict:Moderate|cyber:Pessimistic,3,0,1,2,65.06441164562553,3.443355460237523,-1476.1417536787944
Drought(Pessimistic)+Conflict(Pessimistic)+Cyber(Optimistic),drought:Pessimistic|conflict:Pessimistic|cyber:Optimistic,3,1,0,2,73.69884795170967,3.431255991902434,-1349.7105439477773
Drought(Pessimistic)+Conflict(Pessimistic)+Cyber(Moderate),drought:Pessimistic|conflict:Pessimistic|cyber:Moderate,3,0,1,2,75.460237770989,3.867269581899147,-1397.5657439477773
Drought(Pessimistic)+Conflict(Pessimistic)+Cyber(Pessimistic),drought:Pessimistic|conflict:Pessimistic|cyber:Pessimistic,3,0,0,3,80.03680665464316,5.828783068698389,-1521.9065439477772
Energy(Optimistic)+Conflict(Optimistic)+Cyber(Optimistic),energy:Optimistic|conflict:Optimistic|cyber:Optimistic,3,3,0,0,20.462403658581486,0.2980115822249654,-464.29945329904996
Energy(Optimistic)+Conflict(Optimistic)+Cyber(Moderate),energy:Optimistic|conflict:Optimistic|cyber:Moderate,3,2,1,0,25.462971585262625,0.4243985568478552,-600.1598832990499
Energy(Optimistic)+Conflict(Optimistic)+Cyber(Pessimistic),energy:Optimistic|conflict:Optimistic|cyber:Pessimistic,3,2,0,1,39.036206706172486,0.9525365925548439,-968.9311082990497
Energy(Optimistic)+Conflict(Moderate)+Cyber(Optimistic),energy:Optimistic|conflict:Moderate|cyber:Optimistic,3,2,1,0,34.498450071772986,0.504363648198018,-645.6951436787945
Energy(Optimistic)+Conflict(Moderate)+Cyber(Moderate),energy:Optimistic|conflict:Moderate|cyber:Moderate,3,1,2,0,38.61656483492215,0.6464066249218516,-757.5802036787945
Energy(Optimistic)+Conflict(Moderate)+Cyber(Pessimistic),energy:Optimistic|conflict:Moderate|cyber:Pessimistic,3,1,1,1,49.7945231697891,1.239966989324411,-1061.2741536787946
Energy(Optimistic)+Conflict(Pessimistic)+Cyber(Optimistic),energy:Optimistic|conflict:Pessimistic|cyber:Optimistic,3,2,0,1,62.570542898155985,1.432609562142093,-1047.3656239477773
Energy(Optimistic)+Conflict(Pessimistic)+Cyber(Moderate),energy:Optimistic|conflict:Pessimistic|cyber:Moderate,3,1,1,1,64.92375133424123,1.6450788750907328,-1111.2999439477771
Energy(Optimistic)+Conflict(Pessimistic)+Cyber(Pessimistic),energy:Optimistic|conflict:Pessimistic|cyber:Pessimistic,3,1,0,2,71.31115609702233,2.5329324369275206,-1284.8393439477773
Energy(Moderate)+Conflict(Optimistic)+Cyber(Optimistic),energy:Moderate|conflict:Optimistic|cyber:Optimistic,3,2,1,0,22.58899609849461,0.2980115822249654,-522.0768432990496
Energy(Moderate)+Conflict(Optimistic)+Cyber(Moderate),energy:Moderate|conflict:Optimistic|cyber:Moderate,3,1,2,0,27.50364109831059,0.4243985568478552,-655.6028332990497
Energy(Moderate)+Conflict(Optimistic)+Cyber(Pessimistic),energy:Moderate|conflict:Optimistic|cyber:Pessimistic,3,1,1,1,40.96947256063896,0.9525365925548439,-1021.4560082990496
Energy(Moderate)+Conflict(Moderate)+Cyber(Optimistic),energy:Moderate|conflict:Moderate|cyber:Optimistic,3,1,2,0,36.24976149287791,0.504363648198018,-693.2765236787943
Energy(Moderate)+Conflict(Moderate)+Cyber(Moderate),energy:Moderate|conflict:Moderate|cyber:Moderate,3,0,3,0,40.29711619860871,0.6464066249218516,-803.2391036787944
Energy(Moderate)+Conflict(Moderate)+Cyber(Pessimistic),energy:Moderate|conflict:Moderate|cyber:Pessimistic,3,0,2,1,51.38662446170269,1.239966989324411,-1104.5299536787945
Energy(Moderate)+Conflict(Pessimistic)+Cyber(Optimistic),energy:Moderate|conflict:Pessimistic|cyber:Optimistic,3,1,1,1,63.57129228164451,1.432609562142093,-1074.5549839477771
Energy(Moderate)+Conflict(Pessimistic)+Cyber(Moderate),energy:Moderate|conflict:Pessimistic|cyber:Moderate,3,0,2,1,65.88406639920497,1.6450788750907328,-1137.390743947777
Energy(Moderate)+Conflict(Pessimistic)+Cyber(Pessimistic),energy:Moderate|conflict:Pessimistic|cyber:Pessimistic,3,0,1,2,72.2209282638301,2.5329324369275206,-1309.5569439477772
Energy(Pessimistic)+Conflict(Optimistic)+Cyber(Optimistic),energy:Pessimistic|conflict:Optimistic|cyber:Optimistic,3,2,0,1,25.778884758364324,0.2980115822249654,-608.7429282990497
Energy(Pessimistic)+Conflict(Optimistic)+Cyber(Moderate),energy:Pessimistic|conflict:Optimistic|cyber:Moderate,3,1,1,1,30.56464536788251,0.4243985568478552,-738.7672582990497
Energy(Pessimistic)+Conflict(Optimistic)+Cyber(Pessimistic),energy:Pessimistic|conflict:Optimistic|cyber:Pessimistic,3,1,0,2,43.86937134233869,0.9525365925548439,-1100.2433582990498
