name,supply_reduction,wsi_increase,gap_change,optimistic_count,moderate_count,pessimistic_count,total_pessimistic,total_moderate,total_optimistic
Energy(Pessimistic)+Conflict(Pessimistic)+Cyber(Optimistic),65.07241635687731,1.432609562142093,-1115.3390239477772,1,0,2,2,0,1
Energy(Pessimistic)+Conflict(Pessimistic)+Cyber(Moderate),67.3245389966506,1.6450788750907328,-1176.5269439477772,0,1,2,2,1,0
Energy(Pessimistic)+Conflict(Pessimistic)+Cyber(Pessimistic),73.58558651404174,2.5329324369275206,-1346.6333439477771,0,0,3,3,0,0
Drought(Optimistic)+Energy(Optimistic)+Conflict(Optimistic)+Cyber(Optimistic),28.6993851448342,0.5665426690769586,-688.0900032990498,4,0,0,0,0,4
Drought(Optimistic)+Energy(Optimistic)+Conflict(Optimistic)+Cyber(Moderate),33.26642773013361,0.7197797147882963,-812.1719832990495,3,1,0,0,1,3
Drought(Optimistic)+Energy(Optimistic)+Conflict(Optimistic)+Cyber(Pessimistic),45.53908682689831,1.3705730861168204,-1145.60785829905,3,0,1,1,0,3
Drought(Optimistic)+Energy(Optimistic)+Conflict(Moderate)+Cyber(Optimistic),41.281846589863456,0.8061586316854663,-829.9932436787947,3,1,0,0,1,3
Drought(Optimistic)+Energy(Optimistic)+Conflict(Moderate)+Cyber(Moderate),45.04294048363944,0.9783776928834282,-932.1784036787944,2,2,0,0,2,2
Drought(Optimistic)+Energy(Optimistic)+Conflict(Moderate)+Cyber(Pessimistic),55.14983621038685,1.7097871436711,-1206.7726536787945,2,1,1,1,1,2
Drought(Optimistic)+Energy(Optimistic)+Conflict(Pessimistic)+Cyber(Optimistic),66.44676947992197,1.8840375332525074,-1152.6788239477773,3,0,1,1,0,3
Drought(Optimistic)+Energy(Optimistic)+Conflict(Pessimistic)+Cyber(Moderate),68.5959659906511,2.1416445368042076,-1211.070343947777,2,1,1,1,1,2
Drought(Optimistic)+Energy(Optimistic)+Conflict(Pessimistic)+Cyber(Pessimistic),74.3713349773639,3.2356941482477772,-1367.9813439477775,2,0,2,2,0,2
